;Tweets;ID
182;mera vagalhaes confusa percebemos mera pesos medidas caso damares vitima estupro deu risada piada jornalista furo achou escandalo aceitavel jogar trator pessoas;1230365621881311233
183;verdade nao deu furo;1230365003431251968
184;furo deu hoje furo;1230362396813856769
185;doido problema deu falar furo vera falar circulo depravacao virou imprensa;1230361623539351552
186;historia furo deu interessa amiga jornalista explicar materia fraudulenta 18 10 18 acusou provas campanha bolsonaro disparos massa whatsapp dinheiro cx explicar;1230358472799215617
187;porra rapaz deu furo telles;1230358251839119362
188;milhooooooes deu furo jair;1230352937257504769
189;verinha jamais acontecera pergunta deu furo hj;1230351303966101504
190;deu furo eita perdao ratifico;1230350737596669953
191;vixi alguem aparece dando furo saberemos nome deu furo vao vendo;1230349759350792193
192;deu furo;1230347881602781184
193;deu nao deu furo;1230342167689863168
194;impulsionar msgs legal escarceu qdo fulana deu furo dizendo bolsonaro feito impulsionamento tse aceitou denuncia investigou pr baseado materia porca foia meliante petista mentiu cpi cassacao;1230342165559160833
195;depoimento hoje cpi feiqui nius publicou feiqui nius disparos zap zap 2018 hein hein deu furo;1230341653497614336
196;deu furo hoje;1230340570482184192
197;deu furo jornalistico nao lembre deu furo jornalismo fake news envio mensagens massa disse messias descobrimos pt buraco;1230340369738498053
198;deu furo reportagem falacioso garoto lingua;1230340063952867328
199;falou deu furo reportagem;1230336605921169409
200;deu furo hoje;1230336235580919811
201;jornaleca mentiu esconder pt disparos massa por deu furo pra cobrir proprio erro;1230336065153708033
202;deu furo;1230335440416378882
203;vi diferente bafafa errado mim presidente dito fulano disse mulher quis furo noticias furo camarada deu depoimento disse quis custo conseguir alguma diferenciada;1230335035481509889
204;tambem deu furo;1230332573953544192
205;senador aprendeu objeto direto lembra bolsonaro nao disse petistazinha deu furo deu furo desenha;1230332323264110595
206;deu sorte nunca vivera novo que agradeca deus cresca nao papel senador republica ridiculo reprovavel furo reportagem esquerda lixo evento;1230332112831733760
207;quase folha jornalista deu furo conseguiram hj sorriso quase;1230330810609414144
208;comunazinha esqueceu lembrando deu furo furo tendeu;1230330287084785665
